label-coarse,text
OTHERS,What is the fear of cockroaches called ?
3,Who is always trying to get the rent from Andy Capp ?
3,Who played Lucas McCain on The Rifleman ?
OTHERS,What year did nylon stockings first go on sale ?
2,What does BTU mean ?
0,What causes rust ?
OTHERS,What does a woman want ?
3,What is Larry King 's occupation ?
OTHERS,How many fiddlers did Old King Cole have ?
0,How do I know someone is truly in love with me ?
0,How can I get a CCT diagram ?
5,What city did the Mormons establish as their headquarters in 1847 ?
OTHERS,How much stronger is the new vitreous carbon material invented by the Tokyo Institute of Technology compared with the material made from cellulose ?
0,How do they raise the cranes when building high-rise buildings ?
OTHERS,How many meters are in a mile ?
OTHERS,"Name a movie that the actress , Sandra Bullock , had a role in ."
5,On which Hawaiian island is Pearl Harbor ?
OTHERS,What kind of crystals exist ?
OTHERS,How many athletes did Puerto Rico enter in the 1984 Winter Olympics ?
0,What is sound ?
OTHERS,What fruit does the ficus produce ?
3,What college did Dikembe Mutombo play basketball for ?
5,Which large U.S. city had the highest murder rate for 1988 ?
0,"What does the word camaro mean , from the GM car the Camaro ?"
3,What comedian was born Allen Stewart Konigsberg ?
5,Where is Microsoft 's corporate headquarters located ?
OTHERS,How many people were executed for Abraham Lincoln 's assassination ?
OTHERS,"How many times was pitcher , Warren Spahn , a 20-game winner in his 21 major league seasons ?"
OTHERS,What 's the term for a bet before cards are dealt ?
5,What California desert is dubbed High Desert ?
OTHERS,What does an edentulous smile lack ?
3,Who led the Normans to victory in the Battle of Hastings ?
OTHERS,How many feet long is a baseball pitcher 's rubber ?
5,Where was chop suey invented ?
OTHERS,What is the term for someone who hates mankind ?
OTHERS,"To get the most caffeine , what soda should I drink ?"
5,Where is Amsterdam ?
5,What city is graced by the Arch of Titus ?
OTHERS,What ill-fated craft was captained by Ernst Lehmann ?
3,Whose video is titled Shape Up with Arnold ?
5,What city is served by Logan International Airport ?
OTHERS,How old was Lucille Ball when the show `` I Love Lucy '' premiered ?
OTHERS,How many grooves are on a dime ?
5,Where can I find a world atlas map online at no charge ?
5,Where can I get a photograph of professor Randolph Quirk ?
OTHERS,"What happened on January 15 , 1969 ?"
